Name,Type,Location,Communitys Rating,# Ratings,Expert,Expert Score,ABV %,Cost,Cask,Age
DON JULIO ULTIMA RESERVA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"DON JULIO // LOS ALTOS, JALISCO, MEXICO",4.38,3,STEPHANIE MORENO,92,40.0,5,EX-BOURBON; FINISHED IN MADEIRA WINE CASKS,NAS
TEQUILA EL MAYOR EXTRA AÑEJO SHERRY CASK AGED,TEQUILA AÑEJO,"TEQUILA EL MAYOR // JALISCO, MEXICO",4.25,2,AMANDA SCHUSTER,92,40.0,4,SHERRY CASK,NAS
THE LOST EXPLORER MEZCAL TOBALÁ,MEZCAL JOVEN,"THE LOST EXPLORER // OAXACA, MEXICO",4.83,3,JAKE EMEN,92,42.0,5,,NAS
SEVERO TEQUILA PLATA,TEQUILA BLANCO,"TEQUILA SEVERO // JALISCO, MEXICO",3.88,2,AMANDA SCHUSTER,92,40.0,2,,NAS
PARTIDA ROBLE FINO AÑEJO,TEQUILA AÑEJO,"PARTIDA // TEQUILA VALLEY, JALISCO, MEXICO",4.35,5,AMANDA SCHUSTER,92,45.0,4,EX-BOURBON AND EX-SINGLE MALT SHERRY-SEASONED CASKS,NAS
EL TESORO EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,EL TESORO // MEXICO,4.49,26,ANNA ARCHIBALD,92,40.0,4,EX-BOURBON,NAS
TEQUILA EL MAYOR FRENCH OAK CHARDONNAY CASK FINISH REPOSADO,TEQUILA REPOSADO,"TEQUILA EL MAYOR // JALISCO, MEXICO",4.25,4,JOHN RANKIN,92,40.0,4,FRENCH OAK EX-CHARDONNAY BARRELS,NAS
MIEL DE TIERRA JOVEN AGAVE SALMIANA,MEZCAL JOVEN,"MIEL DE TIERRA // ZACATECAS, MEXICO",,,JOHN RANKIN,92,40.0,3,UNAGED,NAS
CÓDIGO 1530 BLANCO TEQUILA,TEQUILA BLANCO,"CÓDIGO 1530 // JALISCO, MEXICO",3.82,67,COLIN HOWARD,92,40.0,2,UNAGED,NAS
DEL MAGUEY SAN PABLO AMEYALTEPEC,MEZCAL JOVEN,"DEL MAGUEY // PUEBLA , MEXICO",4.63,16,RON BECHTOL,92,47.0,4,UNAGED,NAS
